fecha_hora,precio,ds,precio_predicho
2020-01-07 09:00:00,474.85,2020-01-07 09:00:00,450.0708371395361
2020-01-07 10:00:00,478.01,2020-01-07 10:00:00,470.51046615730434
2020-01-07 11:00:00,480.13,2020-01-07 11:00:00,491.18733212451946
2020-01-07 12:00:00,485.44,2020-01-07 12:00:00,507.3005563523194
2020-01-07 13:00:00,497.61,2020-01-07 13:00:00,519.1254186685321
2020-01-07 14:00:00,505.34,2020-01-07 14:00:00,531.2850427389948
2020-01-07 15:00:00,517.0,2020-01-07 15:00:00,547.1491582509896
2020-01-07 16:00:00,518.27,2020-01-07 16:00:00,565.0455845270296
2020-01-07 17:00:00,522.02,2020-01-07 17:00:00,581.0275385136616
2020-01-07 18:00:00,566.04,2020-01-07 18:00:00,595.9780842727503
2020-01-07 19:00:00,601.46,2020-01-07 19:00:00,618.6239851256032
2020-01-07 20:00:00,641.44,2020-01-07 20:00:00,659.1034935986823
2020-01-07 21:00:00,695.78,2020-01-07 21:00:00,716.7114682255967
2020-01-07 22:00:00,651.29,2020-01-07 22:00:00,769.7668273237007
2020-01-07 23:00:00,532.03,2020-01-07 23:00:00,781.572478917344
2020-01-08 00:00:00,439.04,2020-01-08 00:00:00,731.5059554518614
2020-01-08 01:00:00,424.74,2020-01-08 01:00:00,639.4676125683496
2020-01-08 02:00:00,419.47,2020-01-08 02:00:00,546.116819136743
2020-01-08 03:00:00,410.71,2020-01-08 03:00:00,478.40490229185434
2020-01-08 04:00:00,408.08,2020-01-08 04:00:00,441.00158167069463
2020-01-08 05:00:00,403.53,2020-01-08 05:00:00,426.04829095839403
2020-01-08 06:00:00,417.72,2020-01-08 06:00:00,423.42861288298917
2020-01-08 07:00:00,449.78,2020-01-08 07:00:00,427.11891774885385
2020-01-08 08:00:00,500.87,2020-01-08 08:00:00,436.61067544414084
2020-01-08 09:00:00,511.3,2020-01-08 09:00:00,453.29156656688974
2020-01-08 10:00:00,531.97,2020-01-08 10:00:00,475.72989839326567
2020-01-08 11:00:00,531.32,2020-01-08 11:00:00,498.710674006572
2020-01-08 12:00:00,529.41,2020-01-08 12:00:00,517.309251908693
2020-01-08 13:00:00,527.21,2020-01-08 13:00:00,531.7051331853647
2020-01-08 14:00:00,542.88,2020-01-08 14:00:00,546.5474018166217
2020-01-08 15:00:00,513.89,2020-01-08 15:00:00,565.2685426303602
2020-01-08 16:00:00,539.29,2020-01-08 16:00:00,586.1244026438195
2020-01-08 17:00:00,528.44,2020-01-08 17:00:00,604.9681307074703
2020-01-08 18:00:00,526.01,2020-01-08 18:00:00,622.636073090686
2020-01-08 19:00:00,665.1,2020-01-08 19:00:00,648.1971860925452
2020-01-08 20:00:00,635.15,2020-01-08 20:00:00,692.2958806050864
2020-01-08 21:00:00,721.16,2020-01-08 21:00:00,754.2225457064171
2020-01-08 22:00:00,659.9,2020-01-08 22:00:00,811.0987278960604
2020-01-08 23:00:00,546.02,2020-01-08 23:00:00,824.0873465146171
2020-01-09 00:00:00,462.0,2020-01-09 00:00:00,771.3177171056489
2020-01-09 01:00:00,470.41,2020-01-09 01:00:00,673.8500878206162
2020-01-09 02:00:00,450.05,2020-01-09 02:00:00,574.7473055335622
2020-01-09 03:00:00,425.1,2020-01-09 03:00:00,502.52113433130324
2020-01-09 04:00:00,415.84,2020-01-09 04:00:00,462.0564089564155
2020-01-09 05:00:00,408.14,2020-01-09 05:00:00,444.9924272841999
2020-01-09 06:00:00,443.99,2020-01-09 06:00:00,440.63079339980413
2020-01-09 07:00:00,485.51,2020-01-09 07:00:00,442.6178890759784
2020-01-09 08:00:00,532.15,2020-01-09 08:00:00,450.37093194659525
2020-01-09 09:00:00,550.07,2020-01-09 09:00:00,465.2521700752257
2020-01-09 10:00:00,505.76,2020-01-09 10:00:00,485.70908164382746
2020-01-09 11:00:00,524.81,2020-01-09 11:00:00,506.37591686514673
2020-01-09 12:00:00,541.13,2020-01-09 12:00:00,522.3016533701627
2020-01-09 13:00:00,544.54,2020-01-09 13:00:00,533.7800109880876
2020-01-09 14:00:00,541.49,2020-01-09 14:00:00,545.568064569334
2020-01-09 15:00:00,532.92,2020-01-09 15:00:00,561.1135967012993
2020-01-09 16:00:00,540.77,2020-01-09 16:00:00,578.683418527659
2020-01-09 17:00:00,689.37,2020-01-09 17:00:00,594.2281413756823
2020-01-09 18:00:00,541.7,2020-01-09 18:00:00,608.6544712583365
2020-01-09 19:00:00,541.18,2020-01-09 19:00:00,630.8642837493402
2020-01-09 20:00:00,680.6,2020-01-09 20:00:00,671.1455446598304
2020-01-09 21:00:00,687.4,2020-01-09 21:00:00,728.6993916039119
2020-01-09 22:00:00,668.41,2020-01-09 22:00:00,781.4369724334748
2020-01-09 23:00:00,694.96,2020-01-09 23:00:00,792.1869535954041
2020-01-10 00:00:00,656.78,2020-01-10 00:00:00,740.280509630498
2020-01-10 01:00:00,506.4,2020-01-10 01:00:00,646.1254752475977
2020-01-10 02:00:00,449.32,2020-01-10 02:00:00,550.943437210051
2020-01-10 03:00:00,437.34,2020-01-10 03:00:00,481.88888720812713
2020-01-10 04:00:00,424.74,2020-01-10 04:00:00,443.5385220398485
2020-01-10 05:00:00,421.57,2020-01-10 05:00:00,427.8616313831824
2020-01-10 06:00:00,452.3,2020-01-10 06:00:00,424.6140265904225
